HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN,_FETCH_IDX
2006-11,20060712,와이에치푸드(주),건강기능식품수입업,"서울특별시 강남구 언주로159길 27(신사동,J&G 빌딩 2층)",식물스타놀에스테르,“식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다(기타기능Ⅱ)”,“식물스타놀 에스테르” 로서 2.5？3.4 g/일,식물 스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다.,1
2006-15,20060817,(주)대덕약업,건강기능식품수입업,경기도 수원시 영통구 대학1로8번길 70-8(1층 이의동),라피노스,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."" “배변활동을 원활히 하는데 도움을 줄 수 있습니다.” (기타기능II)",.,제안된 섭취량보다 많은 양을 섭취할 때에는 설사를 유발할 수 있습니다.,1
2006-16,20060817,(주)메코,건강기능식품수입업,서울특별시 서초구 반포대로39길 56-14(반포동),가쯔오부시 올리고 펩타이드,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",(지표성분으로서 5 mg),"◆ 임산부, 수유부는 섭취를 삼가시기 바랍니다.
◆ 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",1
2006-18,20060817,카길트레이딩,건강기능식품수입업,"서울특별시 강남구 삼성동 144-27   본솔빌딩, 5층",글루코사민,"관절 및 연골의 구성성분
관절 및 연골을 튼튼히 하는데 도움
관절 및 연골건강에 도움",.,,1
2006-19,20060817,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구 동호로 330 씨동 102호,카제인가수분해물,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",.,"- 임산부, 수유부는 섭취를 삼가시기 바랍니다.
- 어린이, 노인, 신부전이 있는 사람, 혈압약    을 복용하시는 분이 섭취 시에는 의사와     상담하셔야 합니다.",1
2006-21,20060929,한국암웨이(주),건강기능식품수입업,서울특별시 강남구 테헤란로 518(대치동),Tonalin CLA FFA,"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계 량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.",1
2006-22,20060929,한국암웨이(주),건강기능식품수입업,서울특별시 강남구 테헤란로 518(대치동),Tonalin CLA TG(트리글리세라이드),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.",1
2009-43,20090429,씨제이제일제당(주),건강기능식품수입업,서울특별시 중구 동호로 330(쌍림동),히알우론산 HA-LF-P,“피부 보습에 도움을 줄 수 있습니다.”,히알우론산나트륨으로서 120~240mg,"1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.                                                                                                                                                                    
2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취를 피하는 것이 좋습니다.",1
2014-39,20140819,(주)뉴트리,,경기도 성남시 중원구 사기막골로 124 SKn테크노파크 테크센터 1109호,닭가슴연골분말(UC-Ⅱ),관절건강에 도움을 줄 수 있음(생리활성기능 2등급),닭가슴연골분말로서 40  mg/일,"1) 임산부, 수유부는 섭취 시 의사와 상담
2) 복용중인 의약품이 있는 분은 섭취 시 의사와 상담",1
2005-10,20050608,(주)콘프로덕츠코리아,건강기능식품수입업,경기도 이천시 부발읍 마암리 234-17,이소말토올리고당,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."", ""배변활동을 원활히 하는데 도움을 줄 수 있습니다.""

◆ 인체시험에서 이소말토올리고당을 섭취할 경우 장내 유익균의 증식과 유해균을 억제하고, 배변활동을 원활히 하는데 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.",이소말토올리고당으로서,과량으로 섭취 시에는 설사를 유발할 수 있습니다.,1
2005-16,20050804,(주)태성뉴트라테크,건강기능식품수입업,"서울특별시 강남구 역삼로 113(역삼동,오성빌딩 504호)",CALRINOL 공액리놀레산(지방산 형태),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.",1
2005-17,20050804,(주)태성뉴트라테크,건강기능식품수입업,"서울특별시 강남구 역삼로 113(역삼동,오성빌딩 504호)",CALRINOL 공액리놀레산(트리글리세라이드 형태),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA 및 trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.",1
2009-64,20090720,주식회사 오셔너스,건강기능식품수입업,"서울특별시 서초구 강남대로18길 16-11(양재동,4층)",가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타기능Ⅰ)”,"총 (-)-HCA로서 750~2,800 mg/일",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2009-85,20091028,진용내츄럴,건강기능식품수입업,경기도 수원시 팔달구,쏘팔메토 열매 추출물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 II),쏘팔메토 열매추출물로서 320 mg,"1) 임산부, 수유여성은 섭취에 주의
2) 메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음",1
